,ISBN,Title,Author,Publishing Date,Category,Description
15,0767903862,In a Sunburned Country,Bill Bryson,2001-05-15,Biography & Autobiography,"Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. This time in Australia. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller A Walk in the Woods. In A Sunburned Country is his report on what he found in an entirely different place: Australia, the country that doubles as a continent, and a place with the friendliest inhabitants, the hottest, driest weather, and the most peculiar and lethal wildlife to be found on the planet. The result is a deliciously funny, fact-filled, and adventurous performance by a writer who combines humor, wonder, and unflagging curiousity. Despite the fact that Australia harbors more things that can kill you in extremely nasty ways than anywhere else, including sharks, crocodiles, snakes, even riptides and deserts, Bill Bryson adores the place, and he takes his readers on a rollicking ride far beyond that beaten tourist path. Wherever he goes he finds Australians who are cheerful, extroverted, and unfailingly obliging, and these beaming products of land with clean, safe cities, cold beer, and constant sunshine fill the pages of this wonderful book. Australia is an immense and fortunate land, and it has found in Bill Bryson its perfect guide."
16,076790382X,I'm a Stranger Here Myself,Bill Bryson,1999,Biography & Autobiography,"A classic from the New York Times bestselling author of A Walk in the Woods and The Body. After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens—as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item. Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away."
17,0060920084,The Lost Continent,Bill Bryson,1990-08-03,Travel,An unsparing and hilarious account of one man's rediscovery of America and his search for the perfect small town.
18,0380713802,Neither Here Nor There:,Bill Bryson,1993-03-01,Travel,"Like many of his generation, Bill Bryson backpacked across Europe in the early seventies -- in search of enlightenment, beer, and women. Twenty years later he decided to retrace the journey he undertook in the halcyon days of his youth. The result is Neither Here Nor There, an affectionate and riotously funny pilgrimage from the frozen wastes of Scandinavia to the chaotic tumult of Istanbul, with stops along the way in Europe's most diverting and historic locales. Like many of his generation, Bill Bryson backpacked across Europe in the early seventies--in search of enlightenment, beer, and women. Twenty years later he decided to retrace the journey he undertook in the halcyon days of his youth. The result is Neither Here Nor There, an affectionate and riotously funny pilgrimage from the frozen wastes of Scandinavia to the chaotic tumult of Istanbul, with stops along the way in Europe's most diverting and historic locales."
19,0380727501,Notes from a Small Island,Bill Bryson,1997-05-01,Travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
20,0380715430,The Mother Tongue,Bill Bryson,1991-09-01,Language Arts & Disciplines,"With dazzling wit and astonishing insight, Bill Bryson--the acclaimed author of The Lost Continent--brilliantly explores the remarkable history, eccentricities, resilience and sheer fun of the English language. From the first descent of the larynx into the throat (why you can talk but your dog can't), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate tongue of peasants that developed into one of the world's largest growth industries."
21,0345538374,The Hobbit / The Lord of the Rings,John Ronald Reuel Tolkien,2012-09-25,Fiction,"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit."""
22,0618517650,The Lord of the Rings,John Ronald Reuel Tolkien,2004,Fiction,"In time for the golden anniversary of the arrival of part one of Tolkien's epic masterpiece on these shore comes a spectacular new edition of ""The Lord of the Rings."" The text is fully correctedQunder the supervision of Christopher TolkienQto meet the author's exacting wishes, and includes two large-format fold-out maps, a ribbon placemarker, and exceptionally elegant packaging. 0-618-51765-0$100.00 / Houghton Mifflin"
23,0618346252,The Lord of the Rings,John Ronald Reuel Tolkien,2003,"Fantasy fiction, English","An epic depicting the Great War of the Ring, a struggle between good and evil in Middle-Earth, in which the tiny Hobbits play a key role."
24,0618260587,The Two Towers,John Ronald Reuel Tolkien,2002,Adventure stories,"Recounts the deeds of the individual members of the Fellowship of the Ring after being divided by an attack of orc-soldiers, following Frodo and his servant Samwise on their continuing quest to destroy the Ring of Power in the Mountain of Fire."
25,0618391002,The Lord of the Rings,Chris Smith,2003-11-05,Literary Criticism,"Describes in detail, with over one thousand photographs, the battles, armies, and armor used in the War of the Ring based on J.R.R. Tolkien's ""Lord of the Rings"" trilogy, including battle plans and character histories and descriptions."
26,0618510826,The Lord of the Rings Complete Visual Companion,Jude Fisher,2004,Performing Arts,"Photographs, screenshots, and images from all three films provide a visual compendium of the film trilogy ""The Lord of the Rings,"" documenting the varied characters and locales as seen through Peter Jackson's vision of Middle-earth."
27,097669400X,Agile Web Development with Rails,David Thomas,2005,Agile software development,Provides information on creating Web-based applications
28,0689840926,Hatchet,Gary Paulsen,2000-04-01,Young Adult Fiction,"This award-winning contemporary classic is the survival story with which all others are compared—and a page-turning, heart-stopping adventure, recipient of the Newbery Honor. Hatchet has also been nominated as one of America’s best-loved novels by PBS’s The Great American Read. Thirteen-year-old Brian Robeson, haunted by his secret knowledge of his mother’s infidelity, is traveling by single-engine plane to visit his father for the first time since the divorce. When the plane crashes, killing the pilot, the sole survivor is Brian. He is alone in the Canadian wilderness with nothing but his clothing, a tattered windbreaker, and the hatchet his mother had given him as a present. At first consumed by despair and self-pity, Brian slowly learns survival skills—how to make a shelter for himself, how to hunt and fish and forage for food, how to make a fire—and even finds the courage to start over from scratch when a tornado ravages his campsite. When Brian is finally rescued after fifty-four days in the wild, he emerges from his ordeal with new patience and maturity, and a greater understanding of himself and his parents."
29,1557344493,A Guide for Using Hatchet in the Classroom,Donna Ickes,1994-08,Activity programs in education,"Teaching literature unit based on the popular children's story, Hatchet."
30,0385326505,,,,,
31,1575606240,Molly Hatchet,Molly Hatchet,2003,Guitar music (Rock),"(Play It Like It Is). Molly Hatchet is one of the classic Southern Rock bands, along with Lynyrd Skynyrd. They feature a three-guitar attack that has helped define rockin' boogie music. This songbook features five killer tunes transcribed in notes and tab exactly as recorded: Beatin' the Odds * Bounty Hunter * Flirtin' with Disaster * Gator Country * Whiskey Man."
32,1595580271,Hatchet Jobs,Dale Peck,2005,Literary Criticism,"Rife with textual analysis, historical context, and insights about the power of fiction, Peck hacks away literature's deadwood to discover the vital heart of the contemporary novel."
33,1595962808,A Changeling for All Seasons,Angela Knight,2005-10-01,Fiction,"A Changeling For All Seasons Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long! Angela Knight - A Vampire Christmas Sahara Kelly - A Christmas Pageant Judy Mays - Jingle Balls Marteeka Karland - Sealed With A Kiss Kate Douglas - My Valentine Shelby Morgen - Changeling Willa Okati - Elven Enchantment Kate Hill - Jolene's Pooka Lacey Savage - Chemistry to Burn Shelby Morgen - Troll Under The Bridge Filled with the unexpected, A Changeling For All Seasons offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless. www.ChangelingPress.com A Vacation For Your Mind -- No Passport Required."
34,0670059676,Changeling,Delia Sherman,2006,Changelings,"In a parallel New York City, Neef, a changeling, breaks Fairy Law and will end up sacrificed to the Wild Hunt unless she can meet the challenge of the Green Lady of Central Park."
35,0141312629,The Changeling Sea,Patricia A. McKillip,2003-04-14,Young Adult Fiction,"World Fantasy Award winner Patricia A. McKillip tells ""an enchanting fantasy that is tinged with realism and romance."" (School Library Journal) Since the day her father's fishing boat returned without him, Peri and her mother have mourned his loss. Her mother sinks into a deep depression and spends her days gazing out at the sea. Unable to control her anger and sadness any longer, Peri uses the small magic she knows to hex the sea. And suddenly into her drab life come the King's sons—changelings with strange ties to the underwater kingdom—a young magician, and, finally, love. ""McKillip is a master storyteller; her tale rings true as if it were being told from memory.""—Kirkus Reviews, pointer review"
36,0595321801,,,,,
37,1590301943,The Changeling,Kate Horsley,2005-04-12,Fiction,"Here, the author of the acclaimed Confessions of a Pagan Nun takes us to fourteenth-century Ireland for a strange and luminous tale of the elusive nature of identity and of triumph in adversity. The Changeling is the story of Grey, a peasant girl who is raised as a boy, and who, until adolescence, never doubts herself to be male. The revelation of her womanhood marks the beginning of her journey through a succession of changing identities—including son, wife, warrior, and mother—each of which brings its own special wisdom, but none of which, she discovers, can ultimately define her. In the course of her adventurous life, Grey deals with all the challenges of her tumultuous age—from political oppression to corrupt Church hierarchy to the horrors of the Black Death—ultimately finding peace and a kind of redemption by embracing the beautifully impermanent quality of identity that her unusual life has enabled her to understand. (Previously published in hardcover as The Changeling of Finnistuath .)"
38,0449146979,The Changeling,Philippa Carr,1990-08-28,Fiction,FICTION-ROMANCE/GOTHIC
39,0061159174,The Known World,Edward P. Jones,2006-08-29,Fiction,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities."
40,006076273X,,,,,
41,0060749911,The Known World LP,Edward P. Jones,2004-06-15,Fiction,"In one of the most acclaimed novels in recent memory, Edward P. Jones, two-time National Book Award finalist, tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order and chaos ensues. In a daring and ambitious novel, Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all of its moral complexities."
42,0273704745,"Traders, Guns & Money",Satyajit Das,2006,Derivative securities,"Liar's Pokerwith more lies and more insight, Traders, Guns & Moneyis a sensational insider's view of the business of trading and marketing derivatives for a living. It reveals the nature of the business, the players and how the real money is made and lost. An accessible companion, a wise counsel and a great read. A sensational and controversial first-person account of the business of derivatives trading and the financial products industry. Offers a true insider's view. Funny and poignant, written in a wry and wickedly comic style. Reveals how shareholders, clients, regulators, and the tax paying ordinary public bear most of the risk in the trading rooms. Reveals the story of how one set of clients discovered the perils of unknowns in a derivatives deal. Traders, Guns & Money cleverly weaves together: the dazzling world of derivatives and how to work out what you know, don't know and need to know; an insider's, expert witness account of the rise and rules of the world of derivatives and the astonishing story of how one set of clients discovered the perils of unknowns in a derivatives deal. Benchmark: Liar's Poker 0340767006.Das now offers more lies and is set in today's derivatives market, and Traders Gun's and Moneyis written not by a journalist but by a world-famous insider."
43,1932386106,Artesia: Adventures In The Known World RPG,Mark Smylie,2009-07-15,Games & Activities,"The award-winning graphic novel Artesia comes to life in the Adventures in the Known World RPG, using a modified and easy-to-use Fuzion-based roleplaying system to plunge players into the strife-riven realms of the Known World, from the Warring Citadels of the Daragjan Highlands to the never-ending feud between the Sun Court of Illia and the Phoenix Court of the Empire of Thessid-Gola. Includes an expansive adaptation of R. Talsorian Games' LifePath character-generation system including birth omens, star signs and divine and heroic lineages, and rules for talents and abilities accessible to characters through the Arcana, the Tarot-like system representing the Known World's archetypal paths of power and the foundation of an unique system of experience, allowing game rewards for virtually all types of character actions."
44,0374517193,,,,,
45,0374280398,Uncommon Carriers,John McPhee,2006-05-16,Literary Collections,"""This is a book about people who drive trucks, captain ships, pilot towboats, drive coal trains, and carry lobsters through the air: people who work in freight transportation. In recent years, John McPhee has spent considerable time with such people, and Uncommon Carriers is his sketchbook of them, of their work, and of his journeys in their company.""--BOOK JACKET."
46,0374519749,Heirs of General Practice,John McPhee,1986-04,Biography & Autobiography,"Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients"
47,0374522596,The Control of Nature,John McPhee,1990-09-01,Nature,"The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters."
48,0374518734,Annals of the Former World,John McPhee,2000-06-15,Science,"The Pulitzer Prize-winning view of the continent, across the fortieth parallel and down through 4.6 billion years Twenty years ago, when John McPhee began his journeys back and forth across the United States, he planned to describe a cross section of North America at about the fortieth parallel and, in the process, come to an understanding not only of the science but of the style of the geologists he traveled with. The structure of the book never changed, but its breadth caused him to complete it in stages, under the overall title Annals of the Former World. Like the terrain it covers, Annals of the Former World tells a multilayered tale, and the reader may choose one of many paths through it. As clearly and succinctly written as it is profoundly informed, this is our finest popular survey of geology and a masterpiece of modern nonfiction. Annals of the Former World is the winner of the 1999 Pulitzer Prize for Nonfiction."
49,0374522871,Coming Into the Country,John McPhee,1991-04,Nature,"An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska"
50,0374519323,,,,,
51,0374516006,Giving Good Weight,John McPhee,1994-04-01,Literary Collections,"""You people come into the market--the Greenmarket, in the open air under the down pouring sun--and you slit the tomatoes with your fingernails. With your thumbs, you excavate the cheese. You choose your stringbeans one at a time. You pulp the nectarines and rape the sweet corn. You are something wonderful, you are--people of the city--and we, who are almost without exception strangers here, are as absorbed with you as you seem to be with the numbers on our hanging scales."" So opens the title piece in this collection of John McPhee's classic essays, grouped here with four others, including ""Brigade de Cuisine,"" a profile of an artistic and extraordinary chef; ""The Keel of Lake Dickey,"" in which a journey down the whitewater of a wild river ends in the shadow of a huge projected dam; a report on plans for the construction of nuclear power plants that would float in the ocean; and a pinball shoot-out between two prizewinning journalists."
52,0374520658,Rising from the Plains,John McPhee,1987-11,Nature,"Blending history and geology, this narrative examines the influence of early surroundings on a geologist's choice of field and specialty and vividly describes the terrain of the Wyoming plains"
53,0822205106,The Heidi Chronicles,Wendy Wasserstein,1990,American drama,"Traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world."
54,0679734996,The Heidi Chronicles,Wendy Wasserstein,1991-07-02,Drama,"The graduating seniors of a Seven Sisters college, trying to decide whether to pattern themselves after Katharine Hepburn or Emily Dickinson. Two young women besieged by the demands of mothers, lovers, and careers—not to mention a highly persistent telephone answering machine—as they struggle to have it all. A brilliant feminist art historian trying to keep her bearings and her sense of humor on the elevator ride from the radical sixties to the heartless eighties. Wendy Wasserstein's characters are so funny, so many-sided, and so real that we seem to know them from their Scene One entrances, though the places they go are invariably surprising. And these three plays—Uncommon Women and Others, Isn't It Romantic, and the Pulitzer Prize-winning The Heidi Chronicles—manage to engage us heart, mind, and soul on such a deep and lasting level that they are already recognized as classics of the modern theater."
55,1596670231,Active Literacy Across the Curriculum,Heidi Hayes Jacobs,2006,Education,"Presents cross-curricular teaching strategies for K-12 teachers to help students develop effective listening, speaking, writing, and reading skills."
56,1581807740,Simply Beautiful Beaded Jewelry,Heidi Boyd,2006-03-14,Crafts & Hobbies,"If gorgeous beaded jewelry always catches your eye, you'll love making (and wearing!) your own necklaces, bracelets and earrings. Simply Beautiful Beaded Jewelry includes 50 projects plus variations in designer Heidi Boyd's simply elegant signature style. Inside you're bound to find plenty of designs to strike your fancy as well as a helpful section that shows you the basic supplies and techniques you'll need to get started. As an added bonus, many of the projects have variations in different colors and styles to help you customize your jewelry to your personal style. &break;&break;Just think how proud you'll feel the first time you can answer, ""I made it myself"" to a compliment on your fabulous new multistrand necklace or your sparkling, swingy crystal earrings. With Simply Beautiful Beaded Jewelry, it truly is easy to get started–in no time at all you'll be showcasing your own original beaded creations and making them as gifts."
57,0800793617,Always Enough,Rolland Baker,2003-09,Religion,"Discover God's modern miracles on the mission field in Mozambique--and how you, too, can experience his limitless love and power!"
58,0871202867,Mapping the Big Picture,Heidi Hayes Jacobs,1997,Educational tests and measurements,"Discover how to use curriculum maps to identify repetitions in the curriculum, integrate subjects, and match assessments to content and performance standards."
59,0753454947,Heidi,Johanna Spyri,2002-11-15,Juvenile Fiction,"Heidi was first published in 1880. A classic tale of childhood joys and friendships, it has delighted and inspired generations of children."
60,0871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,2004,Education,Teachers and administrators offer concrete advice on how to get the most out of curriculum mapping in districts and schools.
61,1852402873,There is Always Enough,Rolland Baker,2003,Church work with the poor,"Tells the story of an adventure that began when the authors, founders of IRIS Ministries, and both natives of California, USA, answered God's call to minister to the poorest of the poor."
62,0761129588,What to Expect the First Year,Heidi Eisenberg Murkoff,2003,Family & Relationships,"Describes each stage of child development, answers questions about child care, and includes information on common childhood ailments."
63,0972016414,The Player's Handbook,Heidi Fleiss,2003-11,Courtship,"Well-versed in the intricacies of the male psyche, the infamous Hollywood Madam offers time-tested strategies and hard-won wisdom on how to survive the love-go-round and come out on top."
64,1581805632,Simply Beautiful Beading,Heidi Boyd,2004-08-19,Crafts & Hobbies,"Blend your creative spirit with the quick and easy projects found inside Simply Beautiful Beading From casual to sophisticated, and everything in between, you'll find beading designs to fit your personal style. Inside, you'll discover 53 simple yet stylish beading projects for exquisite jewelry, accessories and home decor, including: modern glass bead chokers semiprecious stone set charm bracelets wired-pearl barrettes wineglass charms hanging votive candle holder and more than 35 variation projects for even more simply beautiful ideas!"
65,0441294677,,,,,
66,0441102670,Chapterhouse: Dune,Frank Herbert,1987,Fiction,"Fifteen thousand years after Leto II's death, the remnants of the Bene Gesserit contend with the ruthless leaders of an alien culture to forge a new civilization and preserve the best of the Old Empire"
67,0441172695,Dune Messiah,Frank Herbert,1969,"Atreides, Paul (Fictitious character)","Muad'dib, heir to unimaginable power, has a scheme to create a superbeing."
