,bookid,title,authors,average_rating,isbn,isbn13,language_code,publication_date,publisher,title2,author2,genre,multiple_authors,n_authors,authors_list,main_author,max_pages,total_reviews,avg_numpages_author,n_pages_vs_avg_auth,avg_numpages_publisher,n_pages_vs_avg_pub,rating_vs_avg_auth,avg_rating_publisher,rating_vs_avg_pub,rating_vs_mode,pub_month,pub_year,pub_month_text,season,season_num,language_code_ENgroup,ratings_count_category,ratings_count_category_T,text_reviews_count_category,text_reviews_count_category_T,log_total_reviews,total_reviews_category,total_reviews_category_T,language_code_T,language_code_ENgroup_T,num_pages_cat,max_pages_cat,num_pages_cat_T,max_pages_cat_T,average_rating_cat,average_rating_cat_T
10849,8602,64,486,84,9596,9596,4,2896,1630,81,301,23,0,0,539,294,305,0,439,100,344,100,27,56,38,84,8,70,6,2,2,1,5,0,4,0,0,5,0,13,0,2,2,2,2,1,3
4525,1877,65,51,106,8856,8860,4,3207,139,82,28,25,1,11,105,29,296,4044,496,91,228,121,23,96,34,106,1,71,10,0,3,1,1,1,1,1,59,1,1,13,0,4,2,0,2,1,3
8145,5694,66,44,106,4189,4210,4,1777,1725,83,28,25,0,0,107,29,261,1520,496,79,766,53,23,91,35,106,5,65,7,1,1,1,0,4,2,2,3924,0,4,13,0,2,2,2,2,1,3
3610,884,67,738,171,2768,2787,4,1750,1561,84,495,4,1,11,787,483,925,3436,746,3,172,5,41,101,48,171,0,65,4,3,0,1,1,1,4,0,45,1,1,13,0,4,4,0,0,1,3
2122,9669,68,2766,98,4212,4233,4,2476,1725,85,2811,25,1,11,2806,1775,477,1325,936,100,766,99,27,91,33,98,10,68,1,2,2,1,0,4,2,2,3851,0,4,13,0,0,0,3,3,1,3
8896,6454,69,3217,106,10099,10099,4,841,1028,1258,4292,2,1,11,24,2111,183,109,364,68,403,58,26,77,38,106,6,57,0,1,1,1,2,2,1,1,940,3,3,13,0,1,1,1,1,1,3
6441,3872,70,2489,113,6674,6690,4,2836,1909,86,1640,8,0,0,2529,1588,834,4771,1329,106,714,195,27,73,41,113,5,70,7,1,1,1,3,3,2,2,3039,3,3,13,0,0,0,3,3,1,3
7600,5113,71,2996,127,4228,4249,4,3053,1725,87,2046,20,0,0,3033,1958,697,2611,1167,114,766,148,27,91,40,127,4,71,3,3,0,1,3,3,2,2,1980,3,3,13,0,0,0,3,3,1,3
7599,5112,72,4465,119,6739,6755,4,3078,1695,87,3069,20,0,0,4484,2970,760,4525,827,182,767,163,28,88,39,119,5,71,7,1,1,1,3,3,2,2,2926,3,3,13,0,0,0,3,3,1,3
33,9204,73,250,102,9353,9354,4,2994,349,88,164,9,1,31,303,165,353,1246,609,96,454,100,21,74,38,102,2,70,9,0,3,1,2,2,4,0,171,2,2,13,0,2,2,2,2,1,3
5575,2938,74,5032,156,5851,5867,4,1595,1745,89,3482,10,1,11,5038,3390,742,1894,847,17,262,29,34,92,47,156,4,64,3,3,0,1,0,4,2,2,4052,0,4,13,0,1,1,1,1,1,3
984,6224,75,3850,113,2486,2505,4,2180,171,90,2645,23,0,0,3873,2562,519,3789,572,150,719,115,29,85,38,113,5,67,7,1,1,1,1,1,4,0,53,1,1,13,0,0,0,3,3,1,3
1537,9106,76,838,131,6576,6592,1,3187,323,91,564,8,1,11,887,552,178,392,1213,27,55,123,30,99,39,131,11,71,11,0,3,1,0,4,2,2,3457,0,4,4,0,1,1,1,1,1,3
10223,7931,77,3718,162,9361,9362,4,2802,8,91,2549,2,1,11,3739,2467,276,3658,354,100,277,101,28,129,39,162,0,70,4,3,0,1,2,2,1,1,483,2,2,13,0,2,2,2,2,1,3
8134,5682,78,840,122,1574,1597,4,3372,1360,1356,564,23,1,11,889,552,500,1302,1213,75,722,110,28,93,38,122,2,72,9,0,3,1,2,2,1,1,176,2,2,13,0,0,0,3,3,1,3
1542,9110,79,837,140,1046,1069,4,2529,1417,92,564,25,1,11,886,552,333,2599,1213,49,720,72,32,93,43,140,1,68,10,0,3,1,0,4,2,2,4289,0,4,13,0,2,2,2,2,1,3
9497,7128,80,829,161,4599,4620,4,3204,744,93,564,25,1,20,878,552,173,144,1213,27,989,25,38,130,39,161,1,71,10,0,3,1,1,1,1,1,106,2,2,13,0,1,1,1,1,1,3
2697,10266,81,5855,150,2964,2983,4,3208,1025,94,4080,4,0,0,5856,3970,545,182,260,23,564,14,36,107,42,150,1,71,10,0,3,1,3,3,2,2,3363,0,4,13,0,4,4,0,0,1,3
1534,9103,82,2734,134,6725,6741,4,2528,304,95,1811,9,0,0,2774,1754,146,2909,96,100,630,40,27,86,43,134,1,68,10,0,3,1,3,3,2,2,2133,3,3,13,0,1,1,1,1,1,3
846,4792,83,3700,147,639,663,1,387,851,96,2537,2,0,0,33,2455,285,3979,349,105,507,76,31,101,42,147,0,49,4,3,0,1,3,3,2,2,2660,3,3,4,0,2,2,2,2,1,3
7136,4611,84,3072,123,5683,5699,4,1237,2019,64,2079,27,0,0,3108,2013,582,869,992,116,609,144,30,88,40,123,10,61,1,2,2,1,0,4,2,2,3668,0,4,13,0,0,0,3,3,1,3
2846,134,85,1979,167,4873,4894,4,2216,174,97,1357,8,0,0,2023,1329,960,4316,1143,184,641,262,35,86,52,167,7,67,8,1,1,1,4,5,3,4,5215,4,5,13,0,0,0,3,3,1,3
3730,1018,86,1980,167,6059,6075,4,2596,1561,98,1357,8,1,11,2021,1329,501,517,1143,83,172,230,35,101,47,167,4,69,3,3,0,1,2,2,1,1,125,2,2,13,0,4,0,0,3,1,3
2417,9985,87,333,125,967,990,4,1527,1401,99,223,23,0,0,386,223,176,4585,446,60,628,44,30,90,40,125,11,63,11,0,3,1,3,3,2,2,2954,3,3,13,0,1,1,1,1,1,3
2419,9987,88,333,110,3472,3491,4,3534,1177,67,223,23,0,0,386,223,579,2540,446,19,897,100,26,82,38,110,5,82,7,1,1,1,1,1,4,0,30,1,1,13,0,1,1,1,1,1,3
5547,2907,89,863,141,4983,5004,4,2950,174,100,587,23,0,0,913,572,477,2718,813,111,641,113,30,86,45,141,10,70,1,2,2,1,3,3,2,2,2037,3,3,13,0,0,0,3,3,1,3
8819,6368,90,5161,135,6570,6586,3,2746,322,65,3586,9,1,11,5167,3493,108,1548,274,61,68,92,28,98,40,135,1,69,10,0,3,1,2,2,1,1,196,2,2,22,0,1,1,1,1,1,3
7070,4529,91,4334,93,7869,7878,4,264,785,101,2995,25,0,0,4353,2904,333,2122,487,103,668,76,27,90,32,93,7,44,8,1,1,1,1,1,4,0,25,1,1,13,0,2,2,2,2,1,3
3688,975,92,4207,91,8996,8999,4,2943,431,102,2903,9,0,0,4226,2815,293,1480,409,100,398,90,27,64,38,91,10,70,1,2,2,1,0,4,0,3,3910,0,4,13,0,2,2,2,2,1,3
3689,976,93,3806,126,9684,9684,4,3179,282,1066,2903,22,1,11,3827,2526,860,3181,1374,100,1062,100,27,98,38,126,10,71,1,2,2,1,1,1,4,0,40,1,1,13,0,1,1,1,1,1,3
6628,4059,94,2987,115,1176,1199,4,1790,1417,103,2004,23,1,11,3023,1951,456,1947,972,92,720,100,27,93,37,115,5,65,7,1,1,1,3,3,2,2,1672,3,3,13,0,2,2,2,2,1,3
3448,741,95,4860,151,3412,3431,3,756,1144,104,3362,9,0,0,4871,3264,681,1386,952,144,701,156,30,91,46,151,4,56,3,3,0,1,3,3,2,2,1420,3,3,22,0,0,0,3,3,1,3
922,5481,96,5771,157,4391,4412,4,2135,202,105,4011,28,0,0,5772,3907,353,1552,908,75,546,90,27,106,44,157,0,67,4,3,0,1,3,3,2,2,1491,3,3,13,0,2,2,2,2,1,3
9412,7043,97,2099,74,345,369,4,2836,837,106,1424,9,1,11,2140,1388,279,2539,491,85,271,103,27,101,24,74,5,70,7,1,1,1,5,0,4,0,3,5,0,13,0,2,2,2,2,2,2
6657,4089,98,5365,104,239,263,4,3208,828,107,3745,23,0,0,5368,3652,480,4050,910,103,631,115,26,87,35,104,1,71,10,0,3,1,3,3,2,2,2698,3,3,13,0,0,0,3,3,1,3
3888,1181,99,5016,130,7316,7330,4,1412,1907,108,3475,8,0,0,5026,3384,911,183,1383,108,852,189,25,82,43,130,2,62,9,0,3,1,4,5,0,3,4918,4,5,13,0,0,0,3,3,1,3
4997,2359,100,4467,134,8287,8296,4,3228,1583,109,3070,9,0,0,4489,2971,251,3113,480,78,238,100,25,106,38,134,2,71,9,0,3,1,3,3,2,2,2238,3,3,13,0,2,2,2,2,1,3
8198,5747,101,3492,144,3017,3036,4,1839,827,110,2381,20,0,0,3518,2304,340,2872,547,99,516,90,34,102,41,144,9,65,5,2,2,1,3,3,2,2,2116,3,3,13,0,2,2,2,2,1,3
4468,1817,102,344,121,1747,1768,4,1113,1958,111,235,4,0,0,397,234,788,3233,1341,97,677,189,21,104,35,121,7,60,8,1,1,1,3,3,2,2,2297,3,3,13,0,0,0,3,3,1,3
4470,1819,103,344,155,1748,1769,4,1117,1958,1665,235,9,0,0,397,234,792,664,1341,98,677,190,30,104,44,155,8,60,6,2,2,1,3,3,1,1,1125,3,3,13,0,0,0,3,3,1,3
4469,1818,104,344,152,1749,1770,4,1113,1958,1665,235,9,0,0,397,234,785,740,1341,97,677,188,29,104,43,152,7,60,8,1,1,1,3,3,1,1,1158,3,3,13,0,0,0,3,3,1,3
4466,1815,105,344,148,1750,1771,4,1113,1958,111,235,9,0,0,397,234,853,468,1341,108,677,211,28,104,42,148,7,60,8,1,1,1,3,3,1,1,1057,3,3,13,0,0,0,3,3,1,3
1445,9015,106,3336,131,2308,2327,4,1603,1133,112,2280,23,0,0,3365,2199,669,1180,763,167,1010,88,34,83,43,131,4,64,3,3,0,1,2,2,1,1,166,2,2,13,0,0,0,3,3,1,3
5698,3097,107,870,133,2584,2603,4,3193,171,113,590,20,0,0,921,576,331,2460,370,119,719,72,34,85,43,133,11,71,11,0,3,1,3,3,2,2,1906,3,3,13,0,2,2,2,2,1,3
9138,6724,108,3847,142,3066,3085,4,1185,502,115,2642,23,0,0,3868,2559,511,345,1004,100,842,97,27,96,42,142,5,61,7,1,1,1,3,3,1,1,1010,3,3,13,0,0,0,3,3,1,3
4732,2091,109,3156,128,7446,7460,4,1425,2145,116,2135,9,0,0,3191,2065,333,4089,513,100,596,82,27,64,48,128,0,63,4,3,0,1,1,1,1,1,60,1,1,13,0,2,2,2,2,1,3
9459,7088,110,5132,139,2256,2276,3,1023,164,118,3559,23,0,0,5139,3467,577,2932,1199,89,837,111,27,85,45,139,8,59,6,2,2,1,3,3,2,2,2145,3,3,22,0,0,0,3,3,1,3
8675,6221,111,943,133,263,287,3,3075,2106,119,648,8,0,0,993,639,445,5182,673,116,519,118,31,93,41,133,5,71,7,1,1,1,0,4,0,3,4889,0,4,22,0,2,2,2,2,1,3
9462,7091,112,511,134,2617,2636,4,547,171,120,323,23,0,0,565,316,776,1225,1286,107,719,177,26,85,43,134,9,52,5,2,2,1,2,2,1,1,169,2,2,13,0,0,0,3,3,1,3
1877,9431,113,3958,144,7777,7787,4,900,2093,121,2711,25,1,11,3978,2627,241,651,262,100,454,68,27,122,37,144,0,58,4,3,0,1,3,3,2,2,1121,3,3,13,0,2,2,2,2,1,3
3099,382,114,2645,123,7850,7860,4,530,904,122,1750,2,0,0,2685,1690,227,2609,224,100,187,100,27,95,38,123,6,52,0,1,1,1,1,1,4,0,31,1,1,13,0,1,1,1,1,1,3
10498,8221,115,1581,133,8298,8307,4,2849,2131,123,1106,16,0,0,1628,1097,232,221,236,100,194,100,27,105,38,133,5,70,7,1,1,1,1,1,4,0,11,1,1,13,0,1,1,1,1,1,3
5777,3185,116,1308,121,1493,1516,4,2499,1144,124,909,25,0,0,1356,901,327,2578,685,84,701,72,27,91,39,121,11,68,11,0,3,1,0,4,0,3,4281,0,4,13,0,2,2,2,2,1,3
4459,1808,117,4144,51,5959,5975,4,764,1573,125,2858,2,0,0,4163,2774,261,2539,313,100,253,100,27,25,38,51,5,56,7,1,1,1,5,0,4,0,3,5,0,13,0,2,2,2,2,2,2
6309,3744,118,1194,144,7299,7313,4,826,1907,126,821,22,1,9,1241,813,681,2929,1241,100,852,130,29,82,47,144,0,57,4,3,0,1,1,1,1,1,36,1,1,13,0,0,0,3,3,1,3
5788,3196,119,3264,134,201,225,4,2694,819,127,2219,20,0,0,3292,2144,484,2207,971,98,670,112,28,88,43,134,9,69,5,2,2,1,0,4,2,2,4157,0,4,13,0,0,0,3,3,1,3
3042,334,120,2396,119,1205,1228,4,1966,1417,128,1601,2,1,11,2435,1550,494,997,817,115,720,109,29,93,38,119,5,66,7,1,1,1,3,3,2,2,1261,3,3,13,0,0,0,3,3,1,3
6317,3751,121,3445,117,6497,6513,4,2941,535,129,2357,28,1,11,3471,2277,860,4421,1374,100,1092,88,27,107,34,117,10,70,1,2,2,1,1,1,1,1,69,1,1,13,0,1,1,1,1,1,3
5545,2905,122,863,128,368,392,4,3266,2106,130,587,23,0,0,913,572,442,2333,813,103,519,118,27,93,40,128,0,72,4,3,0,1,3,3,2,2,1850,3,3,13,0,2,2,2,2,1,3
10244,7952,123,1819,134,5544,5560,4,1362,1208,131,1268,9,1,11,1861,1246,487,5047,961,100,881,86,27,97,40,134,10,62,1,2,2,1,1,1,1,1,91,1,1,13,0,0,0,3,3,1,3
2914,203,124,1675,106,5724,5740,4,334,1135,2371,1184,23,0,0,1729,1169,389,3909,523,115,270,145,24,98,33,106,4,47,3,3,0,1,2,2,1,1,537,2,2,13,0,2,2,2,2,1,3
7751,5276,125,29,159,5995,6011,4,3093,1141,132,2809,23,1,20,84,24,697,0,1259,100,984,100,27,131,38,159,6,71,0,1,1,1,5,0,4,0,0,5,0,13,0,0,0,3,3,1,3
